No,Speed (rpm),Load (Watt) ,Biodiesel blending (%),Fuel temperature (deg C),Torque (Nm),SFC (g/kWh),Thermal Efficiency (%)
1,800,1000,0,26,"3,09","1028,55","8,35"
2,800,2000,0,26,"5,72","714,07","12,03"
3,800,3000,0,26,"7,66","647,86","13,26"
4,800,4000,0,26,"8,59","616,56","13,93"
5,1000,1000,0,26,"4,27",904,"9,5"
6,1000,2000,0,26,"8,01","713,72","12,03"
7,1000,3000,0,26,"11,21","622,01","13,81"
8,1000,4000,0,26,"13,9","587,76","14,61"
9,1200,1000,0,26,"5,18","1056,55","8,13"
10,1200,2000,0,26,"9,63","668,61","12,85"
11,1200,3000,0,26,"12,52","585,48","14,67"
12,1200,4000,0,26,"16,29","531,95","16,15"
13,800,1000,0,60,"3,15","1239,65","6,93"
14,800,2000,0,60,"5,82","830,4","10,34"
15,800,3000,0,60,"7,4","805,26","10,67"
16,800,4000,0,60,"9,2","706,03","12,16"
17,1000,1000,0,60,"4,26","1048,74","8,19"
18,1000,2000,0,60,"7,98","716,15","11,99"
19,1000,3000,0,60,"11,17","588,31","14,6"
20,1000,4000,0,60,"13,77","512,51","16,76"
21,1200,1000,0,60,"5,25","926,42","9,27"
22,1200,2000,0,60,"9,98","568,56","15,11"
23,1200,3000,0,60,"14,08","490,58","17,51"
24,1200,4000,0,60,"17,57","459,6","18,69"
25,800,1000,50,26,"3,08","1201,15","7,83"
26,800,2000,50,26,"5,52","800,18","11,75"
27,800,3000,50,26,"7,32","667,74","14,08"
28,800,4000,50,26,"8,31","669,22","14,05"
29,1000,1000,50,26,"4,22","958,32","9,81"
30,1000,2000,50,26,"7,89","585,93","16,05"
31,1000,3000,50,26,"10,99","489,87","19,2"
32,1000,4000,50,26,"12,82","444,42","21,16"
33,1200,1000,50,26,"5,18","806,41","11,66"
34,1200,2000,50,26,"9,43","503,73","18,67"
35,1200,3000,50,26,"11,2","474,56","19,82"
36,1200,4000,50,26,"12,25","481,05","19,55"
37,800,1000,50,60,"2,68","1461,83","6,43"
38,800,2000,50,60,"5,15","885,52","10,62"
39,800,3000,50,60,"6,86","759,04","12,39"
40,800,4000,50,60,"9,01","651,26","14,44"
41,1000,1000,50,60,"4,1","1030,66","9,12"
42,1000,2000,50,60,"7,75","625,82","15,03"
43,1000,3000,50,60,"10,83","531,5","17,69"
44,1000,4000,50,60,"13,01","455,85","20,63"
45,1200,1000,50,60,"5,1","871,03","10,8"
46,1200,2000,50,60,"9,67","555,58","16,93"
47,1200,3000,50,60,"13,42","461,36","20,38"
48,1200,4000,50,60,"15,91","445,57","21,1"
49,800,1000,30,26,"3,05","1228,75","7,37"
50,800,2000,30,26,"5,66","828,09","10,94"
51,800,3000,30,26,"7,56","773,96","11,71"
52,800,4000,30,26,"8,38","780,19","11,61"
53,1000,1000,30,26,"4,22","1051,25","8,62"
54,1000,2000,30,26,"7,96","715,51","12,66"
55,1000,3000,30,26,"11,03","584,98","15,49"
56,1000,4000,30,26,"13,26","497,83","18,2"
57,1200,1000,30,26,"5,18","924,32","9,8"
58,1200,2000,30,26,"8,22","676,89","13,38"
59,1200,3000,30,26,"12,34","537,45","16,86"
60,1200,4000,30,26,"15,78","511,09","17,73"
61,800,1000,30,60,"3,18","1146,39","7,9"
62,800,2000,30,60,"5,88","757,29","11,96"
63,800,3000,30,60,"7,95","686,69","13,19"
64,800,4000,30,60,"9,32","628,02","14,45"
65,1000,1000,30,60,"4,29","988,56","9,16"
66,1000,2000,30,60,"8,11","628,19","14,42"
67,1000,3000,30,60,"11,33","517,89","17,49"
68,1000,4000,30,60,"13,77","439,19","20,63"
69,1200,1000,30,60,"5,26","835,83","10,84"
70,1200,2000,30,60,"9,83","497,4","18,21"
71,1200,3000,30,60,"13,78","456,06","19,87"
72,1200,4000,30,60,"16,67","420,78","21,53"
